5	    1	    6	    1
10	    2	   12	    2
15	    4	   19	    3
20	    6	   26	    4
25	    9	   33	    5
30	   12	   38	    6
35	   16	   44	    7
40	   20	   50	    8
45	   25	   57	    9
50	   30	   64	   10
55	   36	   71	   11
60	   42	   75	   12
65	   49	   81	   13
70	   56	   87	   14
75	   64	   94	   15
80	   72	  101	   16
85	   81	  108	   17
90	   90	  113	   18
95	  100	  119	   19
100	  110	  125	   20
105	  121	  132	   21
110	  132	  139	   22
115	  144	  146	   23
120	  156	  149	   24
125	  169	  155	   25
130	  182	  161	   26
135	  196	  168	   27
140	  210	  175	   28
145	  225	  182	   29
150	  240	  187	   30
155	  256	  193	   31
160	  272	  199	   32
165	  289	  206	   33
170	  306	  213	   34
175	  324	  220	   35
180	  342	  224	   36
185	  361	  230	   37
190	  380	  236	   38
195	  400	  243	   39
200	  420	  250	   40
205	  441	  257	   41
210	  462	  262	   42
215	  484	  269	   43
220	  506	  276	   44
225	  529	  283	   45
230	  552	  289	   46
235	  576	  296	   47
240	  600	  303	   48
245	  625	  310	   49
250	  650	  312	   50
255	  676	  318	   51
260	  702	  324	   52
265	  729	  331	   53
270	  756	  338	   54
275	  784	  345	   55
280	  812	  350	   56
285	  841	  356	   57
290	  870	  362	   58
295	  900	  369	   59
300	  930	  376	   60
305	  961	  383	   61
310	  992	  387	   62
315	 1024	  393	   63
320	 1056	  399	   64
325	 1089	  406	   65
330	 1122	  413	   66
335	 1156	  420	   67
340	 1190	  425	   68
345	 1225	  431	   69
350	 1260	  437	   70
355	 1296	  444	   71
360	 1332	  451	   72
365	 1369	  458	   73
370	 1406	  461	   74
375	 1444	  467	   75
380	 1482	  473	   76
385	 1521	  480	   77
390	 1560	  487	   78
395	 1600	  494	   79
400	 1640	  499	   80
405	 1681	  505	   81
410	 1722	  511	   82
415	 1764	  518	   83
420	 1806	  525	   84
425	 1849	  532	   85
430	 1892	  536	   86
435	 1936	  542	   87
440	 1980	  548	   88
445	 2025	  555	   89
450	 2070	  562	   90
455	 2116	  569	   91
460	 2162	  574	   92
465	 2209	  581	   93
470	 2256	  588	   94
475	 2304	  595	   95
480	 2352	  601	   96
485	 2401	  608	   97
490	 2450	  615	   98
495	 2500	  622	   99
500	 2550	  623	  100
505	 2601	  629	  101
510	 2652	  635	  102
515	 2704	  642	  103
520	 2756	  649	  104
525	 2809	  656	  105
530	 2862	  661	  106
535	 2916	  667	  107
540	 2970	  673	  108
545	 3025	  680	  109
550	 3080	  687	  110
555	 3136	  694	  111
560	 3192	  698	  112
565	 3249	  704	  113
570	 3306	  710	  114
575	 3364	  717	  115
580	 3422	  724	  116
585	 3481	  731	  117
590	 3540	  736	  118
595	 3600	  742	  119
600	 3660	  748	  120
605	 3721	  755	  121
610	 3782	  762	  122
615	 3844	  769	  123
620	 3906	  772	  124
625	 3969	  778	  125
630	 4032	  784	  126
635	 4096	  791	  127
640	 4160	  798	  128
645	 4225	  805	  129
650	 4290	  810	  130
655	 4356	  816	  131
660	 4422	  822	  132
665	 4489	  829	  133
670	 4556	  836	  134
675	 4624	  843	  135
680	 4692	  847	  136
685	 4761	  853	  137
690	 4830	  859	  138
695	 4900	  866	  139
700	 4970	  873	  140
705	 5041	  880	  141
710	 5112	  885	  142
715	 5184	  892	  143
720	 5256	  899	  144
725	 5329	  906	  145
730	 5402	  912	  146
735	 5476	  919	  147
740	 5550	  926	  148
745	 5625	  933	  149
750	 5700	  935	  150
755	 5776	  941	  151
760	 5852	  947	  152
765	 5929	  954	  153
770	 6006	  961	  154
775	 6084	  968	  155
780	 6162	  973	  156
785	 6241	  979	  157
790	 6320	  985	  158
795	 6400	  992	  159
800	 6480	  999	  160
805	 6561	 1006	  161
810	 6642	 1010	  162
815	 6724	 1016	  163
820	 6806	 1022	  164
825	 6889	 1029	  165
830	 6972	 1036	  166
835	 7056	 1043	  167
840	 7140	 1048	  168
845	 7225	 1055	  169
850	 7310	 1062	  170
855	 7396	 1069	  171
860	 7482	 1075	  172
865	 7569	 1082	  173
870	 7656	 1089	  174
875	 7744	 1096	  175
880	 7832	 1099	  176
885	 7921	 1105	  177
890	 8010	 1111	  178
895	 8100	 1118	  179
900	 8190	 1125	  180
905	 8281	 1132	  181
910	 8372	 1137	  182
915	 8464	 1143	  183
920	 8556	 1149	  184
925	 8649	 1156	  185
930	 8742	 1163	  186
935	 8836	 1170	  187
940	 8930	 1174	  188
945	 9025	 1180	  189
950	 9120	 1186	  190
955	 9216	 1193	  191
960	 9312	 1200	  192
965	 9409	 1207	  193
970	 9506	 1212	  194
975	 9604	 1219	  195
980	 9702	 1226	  196
985	 9801	 1233	  197
990	 9900	 1239	  198
995	10000	 1246	  199
1000	10100	 1253	  200
1005	10201	 1260	  201
